,age,ast_per_g,award_share,blk_per_g,fg3_pct,fg_pct,ft_pct,g,link,mp_per_g,player,points_max,points_won,pts_per_g,stl_per_g,team_id,trb_per_g,votes_first,ws,ws_per_48
196,20,2.0,1.000,1.7,.341,.542,.811,82,/players/t/townska01.html,32.0,Karl-Anthony Towns,650,650.0,18.3,0.7,MIN,10.5,130.0,8.3,.151
197,20,1.3,0.558,1.9,.333,.421,.838,72,/players/p/porzikr01.html,28.4,Kristaps Porziņģis,650,363.0,14.3,0.7,NYK,7.3,0.0,4.4,.102
198,20,2.4,0.091,0.6,.333,.512,.811,80,/players/j/jokicni01.html,21.7,Nikola Jokić,650,59.0,10.0,1.0,DEN,7.0,0.0,6.7,.185
199,19,2.6,0.075,0.3,.343,.423,.840,76,/players/b/bookede01.html,27.7,Devin Booker,650,49.0,13.8,0.6,PHO,2.5,0.0,1.9,.043
200,20,1.2,0.052,1.2,.167,.508,.686,53,/players/o/okafoja01.html,30.0,Jahlil Okafor,650,34.0,17.5,0.4,PHI,7.0,0.0,1.2,.037
201,19,1.5,0.011,0.3,.276,.422,.684,78,/players/w/winslju01.html,28.6,Justise Winslow,650,7.0,6.4,0.9,MIA,5.2,0.0,2.5,.054
202,19,5.5,0.006,0.5,.319,.364,.670,68,/players/m/mudiaem01.html,30.4,Emmanuel Mudiay,650,4.0,12.8,1.0,DEN,3.4,0.0,-2.1,-0.049
203,19,0.7,0.005,1.4,.214,.498,.727,60,/players/t/turnemy01.html,22.8,Myles Turner,650,3.0,10.3,0.4,IND,5.5,0.0,3.1,.109
204,19,3.3,0.002,0.2,.351,.410,.737,80,/players/r/russeda01.html,28.2,D'Angelo Russell,650,1.0,13.2,1.2,LAL,3.4,0.0,0.0,.001
205,24,4.2,0.828,0.2,.404,.457,.865,75,/players/b/brogdma01.html,26.4,Malcolm Brogdon,500,414.0,10.2,1.1,MIL,2.8,64.0,4.1,.100
206,22,2.2,0.532,0.4,.311,.411,.782,81,/players/s/saricda01.html,26.3,Dario Šarić,500,266.0,12.8,0.7,PHI,6.3,13.0,1.0,.023
207,22,2.1,0.354,2.5,.367,.466,.783,31,/players/e/embiijo01.html,25.4,Joel Embiid,500,177.0,20.2,0.9,PHI,7.8,23.0,1.9,.117
208,24,1.5,0.042,0.1,.391,.426,.842,82,/players/h/hieldbu01.html,23.0,Buddy Hield,500,21.0,10.6,0.5,TOT,3.3,0.0,1.3,.032
209,22,1.3,0.016,0.5,.267,.529,.728,72,/players/h/hernawi01.html,18.4,Willy Hernangómez,500,8.0,8.2,0.6,NYK,7.0,0.0,3.4,.123
210,19,2.1,0.016,0.3,.334,.404,.883,82,/players/m/murraja01.html,21.5,Jamal Murray,500,8.0,9.9,0.6,DEN,2.6,0.0,1.3,.037
211,19,0.7,0.006,0.9,.321,.449,.624,82,/players/c/chrisma01.html,21.3,Marquese Chriss,500,3.0,9.2,0.8,PHO,4.2,0.0,1.8,.050
212,20,0.8,0.002,0.2,.341,.454,.685,78,/players/b/brownja02.html,17.2,Jaylen Brown,500,1.0,6.6,0.4,BOS,2.8,0.0,1.5,.053
